2014/10/16 16:21:23 Illegal string offset 'extension'
2014/10/16 16:23:37 Undefined variable: fileinfo
2014/10/16 16:30:45 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:31:12 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:35:09 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:35:09 Undefined index: extension
2014/10/16 16:35:25 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:35:25 Undefined index: extension
2014/10/16 16:35:38 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:35:38 Undefined index: extension
2014/10/16 16:44:39 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:47:50 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:49:21 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:55:23 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:55:47 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:56:18 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:59:03 pathinfo() expects parameter 1 to be string, array given
2014/10/16 16:59:07 pathinfo() expects parameter 1 to be string, array given
2014/10/16 17:01:37 pathinfo() expects parameter 1 to be string, array given
2014/10/16 17:03:07 pathinfo() expects parameter 1 to be string, array given
2014/10/17 07:50:03 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:27:52 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:28:30 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:28:39 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:28:56 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:29:20 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:29:32 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:30:12 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:31:44 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:32:00 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:34:24 pathinfo() expects parameter 1 to be string, array given
2014/10/17 08:34:55 pathinfo() expects parameter 1 to be string, array given
